Sample_ID,short_ENA_accession,short_Genbank_accession,Year of Isolation,Month of Isolation,ST_Shortened,Collection,Source,Location,Province,ProvinceLocation,Province_Capital_Latitude,Province_Capital_Longitutde,Hospital,MIC_ESBL,ESBL,MIC_Ampicillin,Ampicillin,MIC_Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanic Acid,MIC_Piperacillin/Tazobactam,Piperacillin/Tazobactam,MIC_Cefalotin,Cefalotin,MIC_Cefoxitin,Cefoxitin,MIC_Ceftazidime,Ceftazidime,MIC_Ceftriaxone,Ceftriaxone,MIC_Cefepime,Cefepime,MIC_Imipenem,Imipenem,MIC_Meropenem,Meropenem,MIC_Amikacin,Amikacin,MIC_Gentamicin,Gentamicin,MIC_Ciprofloxacin,Ciprofloxacin,MIC_Tigecycline,Tigecycline,MIC_Nitrofurantoin,Nitrofurantoin,MIC_Trimethoprim/ Sulfamethoxazole,Trimethoprim/ Sulfamethoxazole
J248,ERR12178186,SAMN38154010,2022,2,ST2096,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,4,I,>= 16,R,>= 64,R,8,I,>= 4,R,>= 8,R,256,R,>= 320,R
HA-119,ERR12178138,SAMN38154001,2022,11,ST2096,MOH,BC,Hail,Hail,NorthWest,27.51785834,41.71945209,HARA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,32,I,<= 1,S,2,R,<= 0.5,S,64,I,<= 20,S
HA-108,ERR12178159,SAMN38154000,2022,11,ST2096,MOH,BC,Hail,Hail,NorthWest,27.51785834,41.71945209,HARA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,128,R,>= 320,R
H68,ERR12178169,SAMN38153999,2022,1,ST2096,MOH,BC,AlHasa,AlHasa,East,25.38327237,49.5899644,HHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,8,*I,<= 1,S,>= 4,R,2,S,256,R,>= 320,R
H411,ERR12178251,SAMN38153998,2023,2,ST2096,MOH,BC,AlHasa,AlHasa,East,25.38327237,49.5899644,HHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,16,*R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
H399,ERR12178282,SAMN38153997,2023,3,ST2096,MOH,BC,AlHasa,AlHasa,East,25.38327237,49.5899644,HHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
H302,ERR12178147,SAMN38153996,2022,10,ST2096,MOH,BC,AlHasa,AlHasa,East,25.38327237,49.5899644,HHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
H268,ERR12178245,SAMN38153995,2022,8,ST2096,MOH,BC,AlHasa,AlHasa,East,25.38327237,49.5899644,HHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
H226,ERR12178238,SAMN38153994,2022,3,ST2096,MOH,BC,AlHasa,AlHasa,East,25.38327237,49.5899644,HHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
H133,ERR12178258,SAMN38153993,2022,5,ST2096,MOH,BC,AlHasa,AlHasa,East,25.38327237,49.5899644,HHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,2,*R,4,R,4,*R,2,S,>= 16,R,4,S,<= 1,S,>= 4,R,>= 8,R,128,R,40,S
R2,ERR12178214,SAMN38154115,2022,2,ST2096,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
M1139,ERR12178158,SAMN38154055,2022,4,ST2096,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,2,*R,8,R,2,*R,1*,*I,4,S,<= 2,S,<= 1,S,>= 4,R,4,I,256,R,<= 20,S
J586,ERR12178284,SAMN38154021,2022,8,ST2096,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
TK119,ERR12178179,SAMN38154141,2022,12,ST231,MOH,BC,Tabuk,Tabuk,NorthWest,28.38719742,36.56521253,TKHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
T29,ERR12055286,SAMN37449920,2022,3,ST231,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,>= 8,R,256,R,>= 320,R
R1369,ERR12178243,SAMN38154112,2023,1,ST231,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
M676,ERR12178173,SAMN38154072,2022,6,ST231,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,POS,+,>= 32,R,16,*R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,<= 0.25*,*I,8,I,16,*I,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
M31,ERR12178168,SAMN38154059,2022,1,ST231,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
JZ56,ERR12178237,SAMN38154048,2022,8,ST231,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,<= 20,S
JZ37,ERR12178236,SAMN38154046,2022,8,ST231,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,POS,+,>= 32,R,16,I,16,I,>= 64,R,<= 4,S,16,I,>= 64,R,2,S,<= 0.25,S,<= 0.25,S,16,*I,<= 1,S,2,R,<= 0.5,S,64,I,<= 20,S
JZ25,ERR12178172,SAMN38154043,2022,7,ST231,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,4,I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,<= 20,S
JZ19,ERR12178177,SAMN38154040,2022,7,ST231,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
J819,ERR12178229,SAMN38154038,2022,11,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
J791,ERR12178207,SAMN38154035,2022,4,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
J774,ERR12178266,SAMN38154033,2022,5,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
J76,ERR12178231,SAMN38154032,2022,4,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
J727,ERR12178283,SAMN38154030,2022,8,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
J70,ERR12178190,SAMN38154028,2022,4,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
J685,ERR12178223,SAMN38154026,2022,8,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
J628,ERR12178261,SAMN38154023,2022,8,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
J377,ERR12178226,SAMN38154014,2022,2,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
J220,ERR12178224,SAMN38154006,2022,9,ST231,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
G3,ERR12178257,SAMN38153991,2022,2,ST231,MOH,BC,AlQunfudhah,Makkah,SouthWest,21.40580343,39.86801201,ALGH,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
JZ82,ERR12178264,SAMN38154052,2022,10,ST231,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
JZ42,ERR12178277,SAMN38154047,2022,8,ST231,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,POS,+,>= 32,R,16,I,8,S,>= 64,R,<= 4,S,2,S,>= 64,R,2,S,<= 0.25,S,<= 0.25,S,>= 64,R,<= 1,S,<= 0.25,S,1,S,64,I,<= 20,S
JZ36,ERR12178198,SAMN38154045,2022,3,ST231,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
B61,ERR12178171,SAMN38153990,2022,12,ST268,MOH,BC,AlBaha,AlBaha,SouthWest,20.01288,41.46767,BHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,<= 2,S,<= 1,S,>= 4,R,2,S,128,R,<= 20,S
M556,ERR12178262,SAMN38154070,2022,5,ST268,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,POS,+,>= 32,R,4,S,64,R,>= 64,R,<= 4,S,>= 64,R,>= 64,R,2,S,<= 0.25,S,<= 0.25,S,<= 2,S,<= 1,S,0.5,I,<= 0.5,S,64,I,>= 320,R
Tb72,ERR12178121,SAMN38154140,2022,6,ST307,MOH,BC,Tabarjal,AlJawf,North,29.88333549,40.11210099,TBHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,<= 0.5,S,128,R,>= 320,R
T97,ERR12055294,SAMN37449925,2022,8,ST307,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,16,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,64,I,>= 320,R
T96,ERR12055272,SAMN37449924,2022,8,ST307,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,16,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,64,I,>= 320,R
T95,ERR12055287,SAMN37449923,2022,8,ST307,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,16,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,64,I,>= 320,R
T94,ERR12055278,SAMN37449922,2022,8,ST307,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,64,I,>= 320,R
T93,ERR12055264,SAMN37449921,2022,8,ST307,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,64,I,>= 320,R
T153,ERR12055263,SAMN37449917,2022,9,ST307,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,16,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,64,I,>= 320,R
T152,ERR12055277,SAMN37449916,2022,9,ST307,MOH,BC,Taif,Makkah,SouthWest,21.28918403,40.42073622,THA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,64,I,>= 320,R
S158,ERR12178542,SAMN38154134,2022,12,ST307,MOH,BC,Sakaka,AlJawf,North,29.88333549,40.11210099,SHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,<= 0.5,S,128,R,>= 320,R
M1107,ERR12178130,SAMN38154053,2022,10,ST313,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,POS,+,>= 32,R,8,S,<= 4,S,>= 64,R,<= 4,S,4,S,>= 64,R,2,S,<= 0.25,S,<= 0.25,S,<= 2,S,<= 1,S,1,R,<= 0.5,S,<= 16,S,40,S
R1160,ERR12178125,SAMN38154103,2022,9,ST322,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,POS,+,>= 32,R,8,S,<= 4,S,>= 64,R,<= 4,S,4,S,32,R,2,S,<= 0.25,S,<= 0.25,S,<= 2,S,<= 1,S,<= 0.25,S,1,S,64,I,>= 320,R
M552,ERR12178248,SAMN38154069,2022,8,ST34,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,32,R,>= 16,R,>= 16,R,32,I,<= 1,S,2,R,1,S,128,R,40,S
M538,ERR12178182,SAMN38154067,2022,2,ST34,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,1,R,1,S,64,I,<= 20,S
M514,ERR12178184,SAMN38154066,2022,1,ST34,MOH,BC,AlMadinah,AlMadinah,West,24.52534326,39.5907648,MRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,8,*R,>= 16,R,>= 16,R,32,I,<= 1,S,1,R,1,S,64,I,<= 20,S
R1300,ERR12055298,SAMN37449911,2022,10,ST437,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,1,S,>= 512,R,>= 320,R
R1161,ERR12178200,SAMN38154104,2022,9,ST437,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,>= 320,R
R348,ERR12178269,SAMN38154123,2022,4,ST48,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,8,I,>= 64,R,>= 16,R,>= 4,R,2,S,256,R,>= 320,R
J197,ERR12178208,SAMN38154005,2022,2,ST751,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,1,S,>= 512,R,>= 320,R
JZ68,ERR12178178,SAMN38154049,2022,8,ST101,MOH,BC,Jazan,Jazan,SouthWest,16.89354904,42.57163172,JZRA,NEG,-,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,1,S,>= 512,R,>= 320,R
HA-138,ERR12178197,SAMN38154002,2022,12,ST101,MOH,BC,Hail,Hail,NorthWest,27.51785834,41.71945209,HARA,POS,+,>= 32,R,>= 32,R,>= 128,R,>= 64,R,8,*R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,8,I,4,S,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
Lettuce15Ceft1,ERR12528967,SAMN39649405,NA,NA,ST101,ENV,ENV,Jeddah,Makkah,SouthWest,21.28918403,40.42073622,KAUST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lettuce15Ceft5,ERR12529037,SAMN39649407,NA,NA,ST101,ENV,ENV,Jeddah,Makkah,SouthWest,21.28918403,40.42073622,KAUST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lettuce14Ceft2,ERR12528917,SAMN39649402,NA,NA,ST873,ENV,ENV,Jeddah,Makkah,SouthWest,21.28918403,40.42073622,KAUST,NEG,-,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,4,*I,>= 4,R,2,S,256,R,>= 320,R
Lettuce14Ceft3,ERR12528966,SAMN39649403,NA,NA,ST1593,ENV,ENV,Jeddah,Makkah,SouthWest,21.28918403,40.42073622,KAUST,POS,+,>= 32,R,>= 32,R,>= 128,R,>= 64,R,<= 4,*R,2,*R,>= 64,R,2,*R,2,S,1,S,>= 64,R,<= 1,S,<= 0.25,S,<= 0.5,S,128,R,<= 20,NA
Lettuce14Ceft4,ERR12528963,SAMN39649404,NA,NA,ST37,ENV,ENV,Jeddah,Makkah,SouthWest,21.28918403,40.42073622,KAUST,NEG,-,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
Lettuce15Ceft3,ERR12528965,SAMN39649406,NA,NA,ST37,ENV,ENV,Jeddah,Makkah,SouthWest,21.28918403,40.42073622,KAUST,NEG,-,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,<= 1,S,>= 4,R,<= 0.5,S,>= 512,R,>= 320,R
Lettuce15Ceft6,ERR12528964,SAMN39649408,NA,NA,ST889,ENV,ENV,Jeddah,Makkah,SouthWest,21.28918403,40.42073622,KAUST,NEG,-,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
Lettuce7Ceft5,ERR12528998,SAMN39649409,NA,NA,ST661,ENV,ENV,Jeddah,Makkah,SouthWest,21.28918403,40.42073622,KAUST,NEG,-,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
Lettuce7Ceft6,ERR12528892,SAMN39649410,NA,NA,ST43,ENV,ENV,Jeddah,Makkah,SouthWest,21.28918403,40.42073622,KAUST,NEG,-,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,2,S,>= 4,R,>= 8,R,256,R,>= 320,R
B14,ERR12528962,SAMN39649347,2022,9,ST2096,MOHUTI,UC,AlBaha,AlBaha,SouthWest,20.01288,41.46767,BHA,NEG,-,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
B26,ERR12529045,SAMN39649348,2022,10,ST5221,MOHUTI,UC,AlBaha,AlBaha,SouthWest,20.01288,41.46767,BHA,POS,+,>= 32,R,4,S,<= 4,S,>= 64,R,<= 4,S,4,S,32,R,2,S,<= 0.25,S,<= 0.25,S,<= 2,S,<= 1,S,1,R,2,S,64,I,>= 320,R
B42,ERR12528969,SAMN39649349,2022,10,ST294,MOHUTI,UC,AlBaha,AlBaha,SouthWest,20.01288,41.46767,BHA,POS,+,>= 32,R,4,S,<= 4,S,>= 64,R,<= 4,S,4,S,16,R,2,S,<= 0.25,S,<= 0.25,S,<= 2,S,<= 1,S,0.5,I,<= 0.5,S,64,I,>= 320,R
B54,ERR12529043,SAMN39649350,2022,11,ST2096,MOHUTI,UC,AlBaha,AlBaha,SouthWest,20.01288,41.46767,BHA,NEG,-,>= 32,R,16*,*R,32,R,>= 64,R,>= 64,R,4,S,<= 1,S,2,S,<= 0.25,S,<= 0.25,S,<= 2,S,<= 1,S,>= 4,R,4,I,256,R,40,S
B56,ERR12528934,SAMN39649351,2022,11,ST16,MOHUTI,UC,AlBaha,AlBaha,SouthWest,20.01288,41.46767,BHA,NEG,-,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,<= 2,S,>= 16,R,>= 4,R,4,I,128,R,>= 320,R
H159,ERR12529054,SAMN39649354,2022,6,ST2096,MOHUTI,UC,AlHasa,AlHasa,East,25.38327237,49.5899644,HHA,NEG,-,>= 32,R,NA,NA,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,>= 320,R
